total_experience_years,skills_count,project_count,leadership_experience,experience_level
0.5,8,2,0,Junior
1.0,12,3,0,Junior
1.5,15,4,1,Junior
2.0,18,5,0,Mid-level
2.5,20,6,1,Mid-level
3.0,22,7,1,Mid-level
3.5,25,8,1,Mid-level
4.0,28,9,1,Mid-level
4.5,30,10,1,Mid-level
5.0,32,12,1,Senior
5.5,35,14,1,Senior
6.0,38,16,1,Senior
7.0,40,18,1,Senior
8.0,42,20,1,Senior
9.0,45,22,1,Senior
10.0,48,25,1,Senior
0.0,5,1,0,Junior
1.2,10,2,0,Junior
1.8,14,3,0,Junior
2.2,16,4,0,Mid-level
2.8,19,5,1,Mid-level
3.2,21,6,1,Mid-level
3.8,24,7,1,Mid-level
4.2,26,8,1,Mid-level
4.8,29,9,1,Mid-level
5.2,31,11,1,Senior
5.8,34,13,1,Senior
6.2,36,15,1,Senior
7.2,39,17,1,Senior
8.2,41,19,1,Senior
9.2,44,21,1,Senior
11.0,50,26,1,Senior