total_experience_years,skills_count,project_count,certification_count,leadership_experience,has_research_work,resume_score
0.5,8,2,0,0,0,4.2
1.0,12,3,1,0,0,5.1
1.5,15,4,1,1,0,6.0
2.0,18,5,2,0,0,6.5
2.5,20,6,2,1,0,7.0
3.0,22,7,3,1,0,7.5
3.5,25,8,3,1,1,8.0
4.0,28,9,4,1,1,8.2
4.5,30,10,4,1,1,8.5
5.0,32,12,5,1,1,8.8
5.5,35,14,5,1,1,9.0
6.0,38,16,6,1,1,9.2
7.0,40,18,7,1,1,9.4
8.0,42,20,8,1,1,9.6
9.0,45,22,9,1,1,9.8
10.0,48,25,10,1,1,10.0
0.0,5,1,0,0,0,3.5
1.2,10,2,0,0,0,4.8
1.8,14,3,1,0,0,5.5
2.2,16,4,1,1,0,6.2
2.8,19,5,2,1,0,6.8
3.2,21,6,2,1,0,7.2
3.8,24,7,3,1,1,7.8
4.2,26,8,3,1,1,8.1
4.8,29,9,4,1,1,8.4
5.2,31,11,4,1,1,8.7
5.8,34,13,5,1,1,8.9
6.2,36,15,5,1,1,9.1
7.2,39,17,6,1,1,9.3
8.2,41,19,7,1,1,9.5
9.2,44,21,8,1,1,9.7
11.0,50,26,11,1,1,10.0